,a,b,c
徐印州,2,14,0.142857143
标志,2,14,0.142857143
玉树,2,17,0.117647059
进,2,14,0.142857143
蓝凯,2,23,0.086956522
无纺,2,25,0.08
为子,2,15,0.133333333
兴城,2,20,0.1
合金材料,2,72,0.027777778
唐国,2,22,0.090909091
徐军,2,21,0.095238095
绵阳市,2,18,0.111111111
饶育蕾,2,18,0.111111111
西门子,2,22,0.090909091
东亚银行,2,15,0.133333333
泵,2,15,0.133333333
协商,2,130,0.015384615
宿迁,2,22,0.090909091
假期,2,11,0.181818182
焦,2,20,0.1
交通设备,2,19,0.105263158
股指,2,9,0.222222222
3.5,2,22,0.090909091
快捷,2,30,0.066666667
昊,2,25,0.08
承揽,2,13,0.153846154
张道庆,2,15,0.133333333
洪,2,24,0.083333333
企业债券,2,26,0.076923077
火灾,2,31,0.064516129
参会,2,24,0.083333333
网络平台,2,11,0.181818182
中维,2,12,0.166666667
转产,2,26,0.076923077
敦煌,98,749,0.130841121
广海立,2,8,0.25
宝钢集团,2,50,0.04
王伟雄,2,15,0.133333333
田园,2,13,0.153846154
损害,2,28,0.071428571
重庆地区,1,10,0.1
涂连东,1,13,0.076923077
金钰为,1,8,0.125
绿筑,1,7,0.142857143
刘晓榛,1,7,0.142857143
向下,1,15,0.066666667
蒙哥,1,5,0.2
旗舰,1,10,0.1
嘉合,1,8,0.125
巴斯德,1,5,0.2
维康,1,19,0.052631579
李凡,1,4,0.25
百汇兴,1,10,0.1
CRO,1,10,0.1
小容,1,14,0.071428571
苏拉威西,1,6,0.166666667
陈康华,1,16,0.0625
天文,1,13,0.076923077
宇华,1,19,0.052631579
联合纤维,1,8,0.125
绿源,1,35,0.028571429
鲁炜,1,10,0.1
喻荣虎,1,11,0.090909091
平罗县,1,4,0.25
1200,1,12,0.083333333
金台,1,19,0.052631579
隆成,1,11,0.090909091
疏勒县,1,5,0.2
南海区,1,8,0.125
李质,1,16,0.0625
孟州市,1,10,0.1
孟荣芳,1,6,0.166666667
江曙晖,1,12,0.083333333
中江,1,6,0.166666667
第三笔,1,5,0.2
81%,1,11,0.090909091
贺正生,1,7,0.142857143
国迈,1,12,0.083333333
张辉,1,6,0.166666667
工程学院,1,13,0.076923077
金桔,1,16,0.0625
许萍,1,13,0.076923077
支票,1,7,0.142857143
一方,1,15,0.066666667
宫本,1,9,0.111111111
南桥,1,9,0.111111111
金立翔,1,10,0.1
周口,1,6,0.166666667
黄曼行,1,8,0.125
52,1,21,0.047619048
集约化,1,8,0.125
万尚庆,1,11,0.090909091
路国平,1,5,0.2
半,1,20,0.05
固化,1,14,0.071428571
刘平春,1,5,0.2
回避,1,14,0.071428571
商州区,1,4,0.25
重工业,1,20,0.05
李悦,1,9,0.111111111
朱贵法,1,6,0.166666667
刘爱莲,1,23,0.043478261
300028,1,10,0.1
拍摄,1,7,0.142857143
校企,1,5,0.2
泰基为,1,9,0.111111111
蔡学恩,1,11,0.090909091
44%,1,11,0.090909091
宏联,1,7,0.142857143
方正集团,1,10,0.1
铁业,1,6,0.166666667
守林,1,16,0.0625
傅江,1,12,0.083333333
CBD,1,6,0.166666667
聚源,1,12,0.083333333
田会,1,8,0.125
戴建君,1,9,0.111111111
张江高,1,16,0.0625
汤淮,1,9,0.111111111
融汇,1,14,0.071428571
吴晓波,1,11,0.090909091
课文,1,6,0.166666667
昆吾,1,26,0.038461538
偿还债务,1,14,0.071428571
志远,1,22,0.045454545
刘俊勇,1,11,0.090909091
质量体系,1,13,0.076923077
孔祥忠,1,11,0.090909091
运城,1,14,0.071428571
7.5,1,17,0.058823529
王振山,1,12,0.083333333
CRCC,1,7,0.142857143
茂雄,1,5,0.2
万向集团,1,10,0.1
保持,1,34,0.029411765
朱武祥,1,15,0.066666667
宁家骏,1,12,0.083333333
永康,1,36,0.027777778
续约,1,9,0.111111111
钱湖,1,24,0.041666667
操作失误,1,8,0.125
特皓,1,4,0.25
泛亚,1,7,0.142857143
三明市,1,17,0.058823529
111,1,11,0.090909091
正在,1,25,0.04
桥箱,1,7,0.142857143
弘康,1,6,0.166666667
郭澳,1,8,0.125
6.5,1,14,0.071428571
六个,1,8,0.125
聚丰,1,7,0.142857143
飞游,1,6,0.166666667
张健,1,10,0.1
溪,1,13,0.076923077
对原,1,15,0.066666667
诉,1,26,0.038461538
高成,1,8,0.125
催收,1,13,0.076923077
五十五,1,11,0.090909091
一在,1,6,0.166666667
蔡惟慈,1,8,0.125
徐枞,1,7,0.142857143
巍,1,9,0.111111111
周守华,1,6,0.166666667
宏梦,1,4,0.25
光控,1,8,0.125
金洪飞,1,6,0.166666667
MVR,1,4,0.25
双源,1,8,0.125
乙醇,1,14,0.071428571
纱,1,9,0.111111111
航信,1,11,0.090909091
集宁区,1,6,0.166666667
保山市,1,12,0.083333333
河源市,1,14,0.071428571
凤冈县,1,5,0.2
河段,1,5,0.2
审华寅,1,15,0.066666667
徐兴尧,1,8,0.125
宋铁波,1,8,0.125
天衍,1,13,0.076923077
短,1,9,0.111111111
张勇,1,10,0.1
商务酒店,1,6,0.166666667
263,1,6,0.166666667
浦发,1,16,0.0625
钟卫,1,7,0.142857143
红岭,1,6,0.166666667
鄂资债,1,9,0.111111111
褚,1,12,0.083333333
宏河,1,10,0.1
口福,1,6,0.166666667
卞,1,8,0.125
149,1,8,0.125
孔小文,1,7,0.142857143
腾云,1,7,0.142857143
捷康,1,9,0.111111111
测序,1,8,0.125
姜傥,1,9,0.111111111
值,1,19,0.052631579
众环,1,22,0.045454545
邹峻,1,12,0.083333333
丽港,1,6,0.166666667
三峡工程,1,5,0.2
Aerotel,1,4,0.25
名牌,1,7,0.142857143
谢汉萍,1,8,0.125
中国船舶工业集团公司,1,22,0.045454545
六盘水,1,8,0.125
嘉泰,1,7,0.142857143
海工,1,14,0.071428571
科环,1,12,0.083333333
1998,1,4,0.25
默沙东公司,1,9,0.111111111
商丘市,1,9,0.111111111
今久,1,9,0.111111111
徐冬根,1,8,0.125
巨源,1,8,0.125
曹胜根,1,5,0.2
宝丰,1,13,0.076923077
曹承宝,1,7,0.142857143
吕强,1,7,0.142857143
李树,1,7,0.142857143
刘红宇,1,6,0.166666667
登,1,14,0.071428571
蔬菜,1,10,0.1
语音,1,9,0.111111111
唐琳,1,13,0.076923077
宽,1,20,0.05
主楼,1,9,0.111111111
百万千瓦,1,6,0.166666667
常,1,14,0.071428571
海勤,1,11,0.090909091
朱依谆,1,12,0.083333333
奥通,1,6,0.166666667
姚明,1,14,0.071428571
恩替,1,6,0.166666667
赣南,1,5,0.2
精选,1,11,0.090909091
余雄,1,9,0.111111111
整,1,6,0.166666667
何玉斌,1,11,0.090909091
张钦宇,1,9,0.111111111
钟祥市,1,5,0.2
甘启义,1,5,0.2
网信,1,5,0.2
张春霞,1,6,0.166666667
198MW,1,9,0.111111111
昌吉,1,15,0.066666667
49.5,1,12,0.083333333
吉昌,1,6,0.166666667
林福椿,1,14,0.071428571
型号,1,5,0.2
人血,1,10,0.1
喻景忠,1,13,0.076923077
飓能,1,9,0.111111111
宁风,1,9,0.111111111
高传,1,9,0.111111111
讨论,1,31,0.032258065
查松,1,5,0.2
张秋生,1,14,0.071428571
铁路运输,1,18,0.055555556
细,1,4,0.25
罗杰,1,8,0.125
巴黎,1,7,0.142857143
多泰,1,4,0.25
血必净,1,6,0.166666667
厉明,1,6,0.166666667
控规,1,5,0.2
秦霆,1,6,0.166666667
天台,1,20,0.05
保障制度,1,23,0.043478261
正康,1,6,0.166666667
JK2012,1,4,0.25
聊城市,1,6,0.166666667
盾,1,4,0.25
中德,1,27,0.037037037
工塑,1,7,0.142857143
热熔胶,1,4,0.25
基体,1,4,0.25
顾峰,1,6,0.166666667
附属物,1,9,0.111111111
矿用,1,8,0.125
讯滔,1,4,0.25
春歌,1,10,0.1
李定,1,10,0.1
陈寿灿,1,8,0.125
吴梅生,1,8,0.125
寿险,1,10,0.1
毕焱,1,10,0.1
联交所,1,10,0.1
焦化厂,1,6,0.166666667
卓资,1,7,0.142857143
恒佳,1,7,0.142857143
及原,1,12,0.083333333
艳霞,1,9,0.111111111
中兆,1,26,0.038461538
万城置,1,5,0.2
西海龙,1,18,0.055555556
高岩,1,6,0.166666667
同瀛宏明,1,5,0.2
专网,1,8,0.125
接纳,1,17,0.058823529
股款,1,16,0.0625
三明,1,19,0.052631579
须,1,17,0.058823529
港元,1,19,0.052631579
袁彬,1,7,0.142857143
规格,1,10,0.1
温烨,1,9,0.111111111
临工,1,7,0.142857143
福特,1,19,0.052631579
香榭,1,20,0.05
升平,1,7,0.142857143
楼房,1,12,0.083333333
作品,1,10,0.1
破产案,1,6,0.166666667
佩特,1,12,0.083333333
瑞翼,1,13,0.076923077
傅穹,1,7,0.142857143
酷人,1,9,0.111111111
赛特,1,20,0.05
陈建根,1,9,0.111111111
南繁,1,4,0.25
金融设备,1,13,0.076923077
散装,1,4,0.25
温州市,1,27,0.037037037
济钢,1,24,0.041666667
达辉,1,15,0.066666667
200MW,1,12,0.083333333
养猪,1,6,0.166666667
石灰石,1,15,0.066666667
增强,1,20,0.05
王跃堂,1,14,0.071428571
58,1,13,0.076923077
开办,1,8,0.125
燃气具,1,19,0.052631579
娄屹,1,8,0.125
蓝普,1,6,0.166666667
窦林平,1,14,0.071428571
盛元,1,9,0.111111111
UL,1,6,0.166666667
沅江,1,13,0.076923077
镜湖,1,5,0.2
突发,1,12,0.083333333
扩项,1,14,0.071428571
物资供应,1,10,0.1
姜松,1,6,0.166666667
宗浩,1,6,0.166666667
香港地区,1,5,0.2
莆田市,1,9,0.111111111
通化市,1,10,0.1
余庆,1,7,0.142857143
兵,1,8,0.125
汉阳区,1,23,0.043478261
肠衣,1,16,0.0625
鲍崇宪,1,5,0.2
核心区,1,8,0.125
订货,1,10,0.1
新崇基,1,5,0.2
周继华,1,10,0.1
融锦欣泰,1,5,0.2
菜,1,9,0.111111111
独山,1,9,0.111111111
舒建,1,14,0.071428571
2.1,1,6,0.166666667
实录,1,12,0.083333333
涉讼,1,8,0.125
乳品,1,21,0.047619048
O,1,10,0.1
流出,1,5,0.2
通报制度,1,10,0.1
沃特玛为,1,9,0.111111111
禾益,1,5,0.2
儿童用品,1,4,0.25
首信,1,11,0.090909091
工资,1,8,0.125
陈家,1,15,0.066666667
福通,1,5,0.2
虎林,1,13,0.076923077
康城,1,10,0.1
代线,1,12,0.083333333
姚小聪,1,14,0.071428571
郝世明,1,11,0.090909091
金宝长,1,6,0.166666667
朱雪珍,1,9,0.111111111
银杏叶,1,17,0.058823529
638,1,9,0.111111111
开发权,1,6,0.166666667
工控网,1,22,0.045454545
邮,1,14,0.071428571
晋正,1,12,0.083333333
李宁,1,11,0.090909091
转拨,1,7,0.142857143
Singapore,1,23,0.043478261
金珠,1,29,0.034482759
乙酰,1,8,0.125
亚夏债,1,12,0.083333333
一发,1,8,0.125
王诚军,1,10,0.1
朱莉峰,1,13,0.076923077
孟晓俊,1,8,0.125
压力容器,1,18,0.055555556
沙市,1,9,0.111111111
庆发,1,7,0.142857143
可免于,1,6,0.166666667
峰峰,1,6,0.166666667
八千,1,4,0.25
甘培忠,1,17,0.058823529
徐润萍,1,5,0.2
三合一,1,11,0.090909091
弄,1,13,0.076923077
兴邦,1,24,0.041666667
變動,1,12,0.083333333
證券,1,11,0.090909091
行人,1,11,0.090909091
發,1,11,0.090909091
年销量,1,5,0.2
荣军,1,7,0.142857143
屆,1,13,0.076923077
李克天,1,7,0.142857143
资盛,1,4,0.25
易德鹤,1,5,0.2
梅月欣,1,16,0.0625
耦合,1,7,0.142857143
枢纽站,1,9,0.111111111
民用航空,1,13,0.076923077
李洪斌,1,6,0.166666667
沈松勤,1,4,0.25
金立,1,6,0.166666667
57,1,15,0.066666667
刁勇,1,6,0.166666667
植,1,6,0.166666667
华方,1,14,0.071428571
四建,1,13,0.076923077
福斯,1,7,0.142857143
博奥,1,11,0.090909091
新昌,1,14,0.071428571
广发基金,1,9,0.111111111
保国,1,7,0.142857143
加入,1,16,0.0625
用药,1,14,0.071428571
港龙,1,9,0.111111111
装配,1,9,0.111111111
刘长华,1,11,0.090909091
道歉信,1,15,0.066666667
货物运输,1,15,0.066666667
王章,1,6,0.166666667
格特,1,11,0.090909091
曹德骏,1,6,0.166666667
本期,1,16,0.0625
硝基,1,7,0.142857143
何晴,1,19,0.052631579
奖补,1,17,0.058823529
一矿,1,6,0.166666667
AMAZONAGRIBIOTECHHKLIMITED,1,5,0.2
复查,1,7,0.142857143
陈步林,1,5,0.2
九派,1,9,0.111111111
刘运宏,1,9,0.111111111
丁仕达,1,9,0.111111111
张瑞彬,1,7,0.142857143
转销,1,31,0.032258065
蓝伯雄,1,8,0.125
安心,1,12,0.083333333
胡宜,1,4,0.25
大海,1,7,0.142857143
马上,1,6,0.166666667
七十,1,15,0.066666667
东硕,1,8,0.125
人生,1,5,0.2
韦岗,1,5,0.2
吉和昌,1,6,0.166666667
方泰,1,10,0.1
徐飞,1,9,0.111111111
海鑫,1,11,0.090909091
延付,1,6,0.166666667
实验区,1,17,0.058823529
树园,1,9,0.111111111
盛邦,1,24,0.041666667
法制,1,22,0.045454545
国鼎,1,12,0.083333333
武威,1,8,0.125
吕洪仁,1,16,0.0625
王晓瑞,1,10,0.1
张家界市,1,22,0.045454545
目前,1,18,0.055555556
中荣,1,4,0.25
莱沃,1,7,0.142857143
正东,1,25,0.04
黄旭,1,13,0.076923077
科沃,1,51,0.019607843
天津劝业场,1,18,0.055555556
誉好,1,5,0.2
润建,1,116,0.00862069
张建明,1,7,0.142857143
王诚,1,7,0.142857143
亿升,1,7,0.142857143
龙口市,1,4,0.25
孟祥凯,1,8,0.125
苯乙烯,1,6,0.166666667
魏达志,1,9,0.111111111
兰坪,1,7,0.142857143
云矿,1,7,0.142857143
芬兰,1,11,0.090909091
天网,1,8,0.125
俞汉青,1,22,0.045454545
逮捕,1,5,0.2
碳谷,1,5,0.2
封卷,1,22,0.045454545
第一条,1,13,0.076923077
徐水,1,10,0.1
46,1,19,0.052631579
刘启亮,1,7,0.142857143
The,1,9,0.111111111
一月份,1,12,0.083333333
成本,1,23,0.043478261
晨鑫,1,118,0.008474576
光亮,1,17,0.058823529
化合物,1,9,0.111111111
傅代国,1,17,0.058823529
汉,1,24,0.041666667
顾乃康,1,10,0.1
吕廷杰,1,18,0.055555556
生产区,1,11,0.090909091
美因,1,12,0.083333333
能源建设,1,25,0.04
爱尔创,1,4,0.25
泥石流,1,9,0.111111111
伊吾,1,4,0.25
广汇债,1,13,0.076923077
二甲,1,5,0.2
张卫华,1,8,0.125
熊兰英,1,5,0.2
办公大楼,1,26,0.038461538
骨干企业,1,11,0.090909091
THE,1,9,0.111111111
大凌,1,12,0.083333333
坦片,1,7,0.142857143
拉西,1,11,0.090909091
左乙,1,9,0.111111111
二滩,1,12,0.083333333
网格,1,24,0.041666667
我来,1,23,0.043478261
投融宝,1,8,0.125
郑新芝,1,15,0.066666667
魏江,1,8,0.125
300056,1,14,0.071428571
EMC,1,12,0.083333333
单水,1,5,0.2
2.4,1,13,0.076923077
鑫益,1,8,0.125
王永滨,1,6,0.166666667
韩蓉,1,7,0.142857143
人因,1,6,0.166666667
AMD,1,4,0.25
温小杰,1,6,0.166666667
兼职,1,14,0.071428571
袁天荣,1,8,0.125
徐乐年,1,9,0.111111111
立雅,1,12,0.083333333
崇山,1,6,0.166666667
184,1,5,0.2
黄骏,1,6,0.166666667
密,1,6,0.166666667
农六师,1,5,0.2
康心,1,13,0.076923077
捷能,1,16,0.0625
胡凤滨,1,14,0.071428571
徐宗玲,1,16,0.0625
延会,1,12,0.083333333
反诉,1,12,0.083333333
环球时报,1,5,0.2
佘,1,6,0.166666667
SINGAPORE,1,23,0.043478261
403,1,20,0.05
运输系统,1,8,0.125
阮锋,1,15,0.066666667
184,1,5,0.2
梁仲康,1,7,0.142857143
肖波,1,12,0.083333333
甘勇,1,7,0.142857143
王世卿,1,8,0.125
祝田山,1,7,0.142857143
华联商厦,1,18,0.055555556
膜材,1,10,0.1
小龙,1,7,0.142857143
特新,1,10,0.1
邹学栋,1,4,0.25
李钢,1,5,0.2
强桂英,1,5,0.2
锦鸿,1,6,0.166666667
源泰,1,6,0.166666667
纯洁,1,34,0.029411765
苏中,1,10,0.1
栖霞市,1,6,0.166666667
宝地,1,20,0.05
深燃,1,17,0.058823529
炼厂,1,10,0.1
退二进,1,25,0.04
陈步宁,1,8,0.125
博州,1,7,0.142857143
61%,1,12,0.083333333
新密市,1,17,0.058823529
肖菲,1,11,0.090909091
王生,1,8,0.125
血管,1,13,0.076923077
采,1,10,0.1
对茂业,1,28,0.035714286
分装,1,11,0.090909091
杨丽荣,1,7,0.142857143
袁君,1,7,0.142857143
签字仪式,1,11,0.090909091
张远惠,1,7,0.142857143
陈小洪,1,7,0.142857143
天明,1,11,0.090909091
5.12,1,14,0.071428571
开封市,1,12,0.083333333
林祺祥,1,6,0.166666667
刘恒,1,15,0.066666667
容,1,12,0.083333333
高精尖,1,12,0.083333333
此次,1,6,0.166666667
沙洲,1,8,0.125
任明辉,1,10,0.1
李慧芬,1,5,0.2
通络,1,13,0.076923077
一百二十,1,6,0.166666667
中盐,1,18,0.055555556
罗绍德,1,11,0.090909091
溶剂油,1,4,0.25
1.50%,1,9,0.111111111
2800,1,7,0.142857143
云铝润鑫,1,13,0.076923077
科为,1,8,0.125
石膏,1,15,0.066666667
融孚,1,23,0.043478261
金红利,1,23,0.043478261
机械厂,1,13,0.076923077
冯涛,1,6,0.166666667
钟慧玲,1,5,0.2
张林,1,10,0.1
申杰,1,6,0.166666667
伊斯特,1,14,0.071428571
丑建忠,1,12,0.083333333
咨华宇,1,5,0.2
映照,1,17,0.058823529
投入使用,1,13,0.076923077
纪传盛,1,13,0.076923077
龙川,1,5,0.2
金世明,1,5,0.2
保健食品,1,19,0.052631579
文魁,1,11,0.090909091
十三日,1,9,0.111111111
等级,1,6,0.166666667
昌乐县,1,5,0.2
俞丽辉,1,14,0.071428571
五图,1,5,0.2
图形,1,7,0.142857143
Agent,1,8,0.125
League,1,8,0.125
旭航,1,7,0.142857143
170521,1,4,0.25
孙剑平,1,8,0.125
CROSS,1,6,0.166666667
老公,1,7,0.142857143
营子,1,7,0.142857143
金德环,1,13,0.076923077
专线电话,1,7,0.142857143
发电站,1,11,0.090909091
营业税,1,22,0.045454545
喻立忠,1,7,0.142857143
图书,1,14,0.071428571
两艘,1,12,0.083333333
李有星,1,6,0.166666667
船员,1,12,0.083333333
辰商,1,5,0.2
东经,1,5,0.2
叶蜀君,1,7,0.142857143
灾后,1,25,0.04
谢春璞,1,12,0.083333333
海力,1,14,0.071428571
曾令秋,1,6,0.166666667
李正国,1,6,0.166666667
汇源,137,1047,0.130850048
财务决算,506,3867,0.130850789
莱宝,116,886,0.130925508
长岭,66,504,0.130952381
三诺,142,1084,0.13099631
电声,98,748,0.131016043
天一,106,809,0.131025958
品种,43,491,0.087576375
葛洲坝,124,946,0.131078224
青松,243,1853,0.131138694
二零一零年,69,526,0.131178707
共达,98,747,0.131191432
603555,90,686,0.131195335
600699,82,625,0.1312
轮候,66,503,0.131212724
600884,79,602,0.131229236
鸿,34,368,0.092391304
600683,76,579,0.131260794
康美,162,1234,0.131280389
60%,30,405,0.074074074
神雾,125,952,0.131302521
凯乐,158,1203,0.131338321
贤成,101,769,0.131339402
吴通,189,1439,0.131341209
600971,25,308,0.081168831
视信,25,261,0.095785441
有研,142,1081,0.131359852
恩华,111,845,0.131360947
星星,159,1210,0.131404959
鸟,211,1604,0.131546135
丹,20,210,0.095238095
克,75,570,0.131578947
精创,39,450,0.086666667
科工,19,202,0.094059406
士,150,1140,0.131578947
步步高,104,790,0.13164557
松江,192,1457,0.131777625
公示,182,1381,0.131788559
世茂,160,1214,0.131795717
英洛华,33,298,0.110738255
600298,33,457,0.072210066
艺文,16,216,0.074074074
德曼,120,910,0.131868132
露笑,167,1266,0.131911532
603015,31,358,0.086592179
601015,71,538,0.13197026
盛屯,170,1288,0.131987578
600238,82,621,0.132045089
中交,30,268,0.111940299
蓝色,202,1529,0.132112492
启明,116,878,0.132118451
600780,29,402,0.072139303
贵阳,29,368,0.078804348
雪榕,43,464,0.092672414
东方航空,118,893,0.132138858
运盛,127,961,0.132154006
600622,42,445,0.094382022
一二,14,135,0.103703704
荣盛,325,2459,0.132167548
601006,27,377,0.071618037
爱司凯,27,313,0.086261981
陈,27,329,0.082066869
黑猫,223,1687,0.132187315
600853,103,779,0.132220796
603488,13,161,0.080745342
体系,13,143,0.090909091
美欣达,77,582,0.132302405
唐山,25,223,0.112107623
给予,25,281,0.088967972
海印,201,1519,0.132323897
时间,128,967,0.132368149
兑息,24,337,0.071216617
谴责,12,173,0.069364162
西藏天路,87,657,0.132420091
追究,374,2824,0.132436261
电脑,122,921,0.132464712
月产,22,236,0.093220339
第七,22,315,0.06984127
承德,84,634,0.132492114
以岭,126,951,0.132492114
棒杰,84,634,0.132492114
顺昌,159,1200,0.1325
零七,97,732,0.132513661
第十二届,10,162,0.061728395
康生,10,203,0.049261084
佳创,97,732,0.132513661
钢研,116,875,0.132571429
600335,83,626,0.132587859
粤泰,29,462,0.062770563
北讯,19,225,0.084444444
600570,74,558,0.132616487
华科技,352,2654,0.132629992
泰和,78,588,0.132653061
亚通,73,550,0.132727273
一次,1117,8413,0.132770712
露露,79,595,0.132773109
低,108,813,0.132841328
醋化,9,258,0.034883721
603968,9,257,0.035019455
火灾事故,9,101,0.089108911
元祖,9,170,0.052941176
顺络,188,1415,0.132862191
得润,168,1264,0.132911392
外部,247,1858,0.132938644
百灵,167,1256,0.132961783
氯碱,98,737,0.132971506
25%,17,218,0.077981651
判决书,17,229,0.074235808
乐普,151,1134,0.133156966
603703,25,358,0.069832402
科迪,71,533,0.133208255
600992,41,383,0.107049608
软件,2124,15941,0.133241327
乌鲁木齐,8,94,0.085106383
振兴,8,86,0.093023256
烟台,220,1651,0.133252574
600790,31,381,0.081364829
进度,135,1012,0.133399209
600278,23,413,0.055690073
603569,23,339,0.067846608
兴蓉,123,922,0.13340564
努尔,111,832,0.133413462
卫浴,181,1356,0.133480826
和晶,160,1198,0.133555927
东电,22,165,0.133333333
601789,72,539,0.133580705
价格调整,99,741,0.133603239
已审,14,193,0.07253886
银鸽,14,237,0.05907173
筹,7,132,0.053030303
口腔医院,7,78,0.08974359
机器设备,7,91,0.076923077
器材,7,98,0.071428571
中联,128,958,0.133611691
603166,34,475,0.071578947
荣安,120,898,0.13363029
行使,27,367,0.073569482
宏丰,98,733,0.133697135
服饰,242,1810,0.133701657
宇通,121,905,0.133701657
汇顶,33,303,0.108910891
行政许可,1183,8843,0.13377813
长盈,150,1121,0.133809099
引入,13,233,0.055793991
丝路,13,306,0.04248366
数量,559,4176,0.133860153
韶钢,118,881,0.133938706
603903,19,231,0.082251082
601001,19,476,0.039915966
文山,88,657,0.133942161
浦发银行,114,851,0.133960047
鲁抗,78,582,0.134020619
上海石化,31,312,0.099358974
创世,76,567,0.134038801
赞宇,109,813,0.134071341
中来,94,701,0.134094151
秦川发展,81,604,0.13410596
冠城,162,1208,0.13410596
隆基,286,2132,0.134146341
扬帆,24,211,0.113744076
600218,24,432,0.055555556
金太阳,18,209,0.086124402
派发,18,239,0.075313808
开发区,18,263,0.068441065
亏损,12,141,0.085106383
90%,12,172,0.069767442
以前年度,12,140,0.085714286
20MW,6,68,0.088235294
综合治理,6,80,0.075
清偿,6,102,0.058823529
亮,6,82,0.073170732
试剂,6,66,0.090909091
中特,6,92,0.065217391
鞍山,6,67,0.089552239
建成投产,6,85,0.070588235
旋极,172,1282,0.134165367
运输,41,463,0.088552916
600376,129,961,0.134235172
十三次,125,931,0.134264232
经营性,113,841,0.134363853
永生,22,374,0.058823529
用品,11,144,0.076388889
组合,11,140,0.078571429
603329,11,85,0.129411765
仓储,11,139,0.079136691
米,77,573,0.134380454
煤矿,91,677,0.134416544
德邦,82,610,0.13442623
莱美,158,1175,0.134468085
新城,181,1346,0.134472511
中福,94,699,0.134477825
600985,78,580,0.134482759
一心,147,1093,0.134492223
600489,31,373,0.08310992
鲁信,131,974,0.13449692
盛,189,1405,0.134519573
成发,95,706,0.134560907
千红,91,676,0.134615385
中持,20,257,0.077821012
剑桥,15,122,0.12295082
第五十九,10,151,0.066225166
分支机构,10,116,0.086206897
代理人,10,105,0.095238095
指示,5,45,0.111111111
603458,5,96,0.052083333
勘设,5,96,0.052083333
603050,5,161,0.031055901
合资经营,5,103,0.048543689
建筑材料,5,99,0.050505051
许,5,68,0.073529412
凌源,5,42,0.119047619
及本,5,71,0.070422535
603533,5,136,0.036764706
冶炼,5,93,0.053763441
船务,5,88,0.056818182
保税,177,1314,0.134703196
华微电子,109,809,0.13473424
金证,174,1291,0.134779241
瑞,158,1172,0.134812287
石基,144,1068,0.134831461
宝德,138,1022,0.135029354
科,601,4450,0.13505618
仁和,114,844,0.13507109
二十七,28,326,0.085889571
之限售,28,371,0.075471698
系列,14,167,0.083832335
东航,14,151,0.092715232
中恒,271,2005,0.135162095
北京城,126,932,0.135193133
601107,36,460,0.07826087
能源管理,9,120,0.075
营口,9,102,0.088235294
梦网,9,151,0.059602649
大族,164,1213,0.135201979
供,31,384,0.080729167
服装,96,710,0.135211268
青海华鼎,94,695,0.135251799
污水处理,13,196,0.066326531
思特奇,13,233,0.055793991
德创,13,169,0.076923077
渔业,102,754,0.135278515
黄河,113,835,0.135329341
银泰,126,931,0.135338346
创投,108,798,0.135338346
601828,17,182,0.093406593
冀中,121,894,0.135346756
巨石,38,475,0.08
职能,25,283,0.088339223
600987,37,404,0.091584158
盘江,111,820,0.135365854
金洲,172,1270,0.135433071
报送,128,945,0.135449735
安奈儿,16,178,0.08988764
界,8,64,0.125
603900,8,202,0.03960396
配送,8,88,0.090909091
现有,8,107,0.074766355
非金融,8,120,0.066666667
坊展,8,83,0.096385542
中外合资,8,79,0.101265823
涉嫌,4,73,0.054794521
万件,4,46,0.086956522
育种,4,41,0.097560976
川财,4,43,0.093023256
公证,4,63,0.063492063
入伙,4,54,0.074074074
水稻,4,49,0.081632653
建军,4,62,0.064516129
诚通,4,39,0.102564103
归属,4,26,0.153846154
巩义市,4,34,0.117647059
倍特,4,44,0.090909091
脱硫,4,83,0.048192771
宝投,4,51,0.078431373
前限售,4,29,0.137931034
再生能源,4,45,0.088888889
权及,4,48,0.083333333
轿车,110,812,0.13546798
环能,172,1267,0.135753749
火炬,96,707,0.135785007
部门,23,279,0.082437276
600329,38,432,0.087962963
600629,77,567,0.135802469
机器人,136,1001,0.135864136
北京华,15,190,0.078947368
金岭,112,824,0.13592233
福,187,1375,0.136
重型,11,167,0.065868263
医科,11,180,0.061111111
盈科,11,159,0.06918239
阳,173,1272,0.136006289
金额,155,1139,0.136084284
高纳,115,845,0.136094675
600106,18,435,0.04137931
通威,182,1337,0.136125654
绿景,137,1006,0.136182903
600250,25,446,0.056053812
年产,188,1379,0.136330674
神农,117,858,0.136363636
阳光,614,4502,0.136383829
600468,73,535,0.136448598
德国,21,318,0.066037736
民盛,14,387,0.036175711
三月,14,154,0.090909091
民事诉讼,7,89,0.078651685
发生变化,7,115,0.060869565
600196,152,1113,0.136567835
售,493,3609,0.136602937
合诚,31,296,0.10472973
Ｂ,79,578,0.136678201
大丰,89,651,0.13671275
比音勒芬,17,176,0.096590909
精功,159,1163,0.136715391
600297,103,753,0.136786189
603909,27,266,0.101503759
预增,715,5227,0.136789746
上柴,71,519,0.136801541
600455,20,464,0.043103448
600835,20,244,0.081967213
证券化,10,125,0.08
南车,165,1206,0.13681592
偿还,123,899,0.136818687
600378,26,459,0.05664488
页,13,215,0.060465116
600345,13,285,0.045614035
600546,88,643,0.136858476
苏泊尔,42,492,0.085365854
